hum,suhu,jarak,beda,status
49.00,25.20,20.11,0.00,banjir
49.00,25.20,21.39,1.27,surut
49.00,25.20,20.11,-1.27,banjir
49.00,25.20,20.11,0.00,banjir
49.00,25.20,17.88,-2.23,banjir
49.00,25.20,20.11,2.23,surut
49.00,25.20,17.88,-2.23,banjir
48.00,25.20,18.53,0.65,surut
48.00,25.20,17.88,-0.65,banjir
48.00,25.10,17.56,-0.32,banjir
48.00,25.10,17.56,0.00,banjir
48.00,25.10,17.27,-0.29,banjir
48.00,25.10,15.66,-1.61,banjir
48.00,25.10,17.27,1.61,surut
48.00,25.10,15.96,-1.31,banjir
48.00,25.10,17.56,1.60,surut
48.00,25.10,17.24,-0.32,banjir
48.00,25.10,13.91,-3.33,banjir
48.00,25.10,14.60,0.70,surut
48.00,25.10,14.60,0.00,banjir
48.00,25.10,13.91,-0.70,banjir
48.00,25.10,13.91,0.00,banjir
48.00,25.10,14.26,0.36,banjir
48.00,25.10,12.87,-1.39,banjir
48.00,25.10,12.87,0.00,banjir
49.00,25.10,12.17,-0.70,banjir
50.00,25.00,12.15,-0.02,banjir
50.00,25.00,12.17,0.02,banjir
50.00,25.00,12.15,-0.02,banjir
50.00,25.00,10.78,-1.38,banjir
50.00,25.00,10.78,0.00,banjir
50.00,25.00,10.78,0.00,banjir
50.00,25.00,10.78,0.00,banjir
50.00,25.00,10.08,-0.70,banjir
50.00,25.00,11.48,1.39,surut
49.00,25.00,11.48,0.00,banjir
49.00,25.00,10.78,-0.70,banjir
49.00,25.00,10.42,-0.36,banjir
49.00,25.00,10.42,0.00,banjir
49.00,25.00,9.38,-1.04,banjir
49.00,25.00,9.03,-0.36,banjir
49.00,25.00,9.03,0.00,banjir
50.00,25.00,9.03,0.00,banjir
52.00,25.00,9.38,0.36,banjir
52.00,25.00,9.72,0.34,banjir
51.00,25.00,8.33,-1.39,banjir
51.00,25.00,8.67,0.34,banjir
51.00,25.00,8.67,0.00,banjir
51.00,25.00,9.03,0.36,banjir
50.00,25.00,9.37,0.34,banjir
50.00,25.00,8.02,-1.34,banjir
50.00,25.00,8.02,0.00,banjir
49.00,25.00,8.01,-0.02,banjir
49.00,25.00,8.02,0.02,banjir
49.00,25.00,6.73,-1.29,banjir
49.00,25.00,7.04,0.31,banjir
49.00,25.00,7.05,0.02,banjir
49.00,25.00,6.39,-0.66,banjir
49.00,25.00,5.76,-0.63,banjir
49.00,25.00,4.78,-0.99,banjir
49.00,25.00,4.78,0.00,banjir
50.00,24.90,5.12,0.34,banjir
51.00,25.00,4.45,-0.66,banjir
52.00,25.00,4.78,0.32,banjir
53.00,25.00,3.81,-0.97,banjir
53.00,25.00,3.48,-0.32,banjir
53.00,25.00,3.16,-0.32,banjir
52.00,25.00,3.50,0.34,banjir
52.00,25.00,3.50,0.00,banjir
52.00,25.00,3.50,0.00,banjir
52.00,25.00,3.48,-0.02,banjir
51.00,25.00,2.84,-0.65,banjir
51.00,24.90,2.52,-0.32,banjir
50.00,25.00,3.16,0.65,surut
50.00,24.90,3.16,0.00,banjir
50.00,24.90,3.18,0.02,banjir
50.00,24.90,3.48,0.31,banjir
50.00,24.90,4.45,0.97,surut
49.00,24.90,4.45,0.00,banjir
49.00,24.90,3.50,-0.95,banjir
49.00,24.90,5.42,1.92,surut
49.00,24.90,5.42,0.00,banjir
49.00,24.90,4.47,-0.95,banjir
49.00,24.90,5.76,1.29,surut
49.00,24.90,6.41,0.65,surut
49.00,24.90,6.41,0.00,banjir
50.00,24.90,6.41,0.00,banjir
50.00,24.90,6.41,0.00,banjir
51.00,24.90,7.36,0.95,surut
50.00,24.90,7.38,0.02,banjir
50.00,24.90,7.38,0.00,banjir
50.00,24.90,8.02,0.65,surut
50.00,24.90,8.65,0.63,surut
49.00,24.90,9.03,0.37,banjir
49.00,24.90,9.03,0.00,banjir
50.00,24.90,9.03,0.00,banjir
51.00,24.90,10.08,1.05,surut
51.00,24.90,9.03,-1.05,banjir
51.00,24.90,10.08,1.05,surut
50.00,24.90,10.06,-0.02,banjir
50.00,24.90,10.78,0.71,surut
50.00,24.90,10.42,-0.36,banjir
50.00,24.90,10.42,0.00,banjir
50.00,24.90,10.42,0.00,banjir
50.00,24.80,11.12,0.70,surut
49.00,24.80,11.12,0.00,banjir
49.00,24.80,11.12,0.00,banjir
49.00,24.80,11.12,0.00,banjir
49.00,24.80,11.81,0.70,surut
49.00,24.80,12.17,0.36,banjir
49.00,24.80,11.12,-1.05,banjir
49.00,24.80,13.21,2.09,surut
49.00,24.80,13.21,0.00,banjir
49.00,24.80,12.87,-0.34,banjir
49.00,24.80,13.91,1.04,surut
49.00,24.80,13.57,-0.34,banjir
49.00,24.80,13.91,0.34,banjir
49.00,24.80,13.21,-0.70,banjir
49.00,24.80,16.29,3.08,surut
49.00,24.80,15.96,-0.32,banjir
49.00,24.80,17.56,1.60,surut
49.00,24.80,16.29,-1.28,banjir
49.00,24.80,15.66,-0.63,banjir
50.00,24.80,15.30,-0.36,banjir
51.00,24.80,17.24,1.94,surut
52.00,24.80,15.96,-1.28,banjir
52.00,24.80,16.93,0.97,surut
51.00,24.80,16.29,-0.65,banjir
51.00,24.80,18.51,2.23,surut
51.00,24.80,21.06,2.55,surut
50.00,24.80,18.84,-2.23,banjir
50.00,24.80,17.25,-1.58,banjir
50.00,24.80,18.51,1.26,surut
50.00,24.80,18.84,0.32,banjir
50.00,24.80,20.76,1.92,surut
50.00,24.80,19.47,-1.29,banjir
50.00,24.80,21.39,1.92,surut
51.00,24.80,20.11,-1.27,banjir
52.00,24.80,19.79,-0.32,banjir
52.00,24.80,19.81,0.02,banjir
52.00,24.80,21.40,1.60,surut
52.00,24.80,21.06,-0.34,banjir
52.00,24.80,21.06,0.00,banjir
51.00,24.80,21.08,0.02,banjir
51.00,24.80,21.06,-0.02,banjir
52.00,24.80,21.06,0.00,banjir
52.00,24.80,21.08,0.02,banjir
51.00,24.80,22.03,0.95,surut
51.00,24.80,21.08,-0.95,banjir
51.00,24.80,22.34,1.26,surut
51.00,24.80,22.64,0.31,surut
53.00,24.80,22.63,-0.02,surut
53.00,24.80,23.49,0.87,surut
53.00,24.80,22.92,-0.58,surut
52.00,24.80,23.20,0.29,surut
52.00,24.80,24.07,0.87,surut
52.00,24.80,24.36,0.29,surut
52.00,24.80,24.09,-0.27,surut
52.00,24.80,25.81,1.72,surut
53.00,24.80,25.81,0.00,surut
53.00,24.80,25.82,0.02,surut
52.00,24.80,26.98,1.16,surut
54.00,24.80,26.67,-0.31,surut
54.00,24.80,26.69,0.02,surut
53.00,24.80,27.25,0.56,surut
55.00,24.80,27.83,0.58,surut
55.00,24.80,27.54,-0.29,surut
54.00,24.80,27.27,-0.27,surut
55.00,24.80,28.14,0.87,surut
57.00,24.80,28.12,-0.02,surut
56.00,24.80,28.71,0.59,surut
55.00,24.80,28.99,0.27,surut
55.00,24.80,29.27,0.29,surut
55.00,24.80,28.70,-0.58,surut
54.00,24.80,28.99,0.29,surut
56.00,24.80,28.70,-0.29,surut
57.00,24.80,29.53,0.83,surut
58.00,24.90,30.58,1.05,surut
58.00,24.90,30.06,-0.53,surut
57.00,24.90,29.53,-0.53,surut
57.00,24.90,30.31,0.78,surut
58.00,24.90,30.84,0.53,surut
57.00,24.90,30.84,0.00,surut
57.00,24.90,32.38,1.55,surut
57.00,24.90,31.87,-0.51,surut
57.00,24.90,31.60,-0.27,surut
57.00,24.90,32.91,1.31,surut
57.00,24.90,32.38,-0.53,surut
56.00,24.90,31.60,-0.78,surut
56.00,24.90,31.87,0.27,surut
55.00,24.90,30.84,-1.04,surut
56.00,24.90,30.58,-0.25,surut
58.00,24.90,31.09,0.51,surut
59.00,24.90,29.53,-1.56,surut
61.00,24.90,29.80,0.27,surut
61.00,24.90,29.80,0.00,surut
60.00,24.90,28.42,-1.38,surut
60.00,24.90,28.41,-0.02,surut
59.00,24.90,28.41,0.00,surut
60.00,24.90,28.99,0.58,surut
60.00,24.90,28.41,-0.58,surut
61.00,24.90,27.83,-0.58,surut
62.00,24.90,28.41,0.58,surut
61.00,25.00,27.54,-0.87,surut
60.00,25.00,27.56,0.02,surut
59.00,25.00,27.54,-0.02,surut
59.00,24.90,27.27,-0.27,surut
58.00,24.90,27.27,0.00,surut
57.00,24.90,25.82,-1.44,surut
57.00,24.90,25.53,-0.29,surut
56.00,24.90,25.81,0.27,surut
57.00,24.90,25.52,-0.29,surut
57.00,24.90,25.52,0.00,surut
57.00,24.90,24.65,-0.87,surut
56.00,24.90,24.65,0.00,surut
56.00,24.90,24.94,0.29,surut
56.00,24.90,23.78,-1.16,surut
57.00,24.90,23.22,-0.56,surut
57.00,24.90,23.22,0.00,surut
57.00,24.90,23.22,0.00,surut
56.00,24.90,23.22,0.00,surut
56.00,24.90,23.49,0.27,surut
55.00,24.90,23.20,-0.29,surut
55.00,24.90,23.20,0.00,surut
54.00,24.90,22.63,-0.58,surut
54.00,24.90,22.63,0.00,surut
53.00,24.90,22.34,-0.29,surut
53.00,24.90,22.35,0.02,surut
53.00,24.90,22.34,-0.02,surut
53.00,24.90,22.34,0.00,surut
52.00,24.90,22.34,0.00,surut
52.00,24.90,22.34,0.00,surut
52.00,24.90,22.34,0.00,surut
52.00,24.90,22.03,-0.31,surut
52.00,24.90,21.39,-0.65,banjir
52.00,24.90,21.71,0.32,banjir
52.00,24.90,21.71,0.00,banjir
52.00,24.90,21.71,0.00,banjir
51.00,24.90,21.71,0.00,banjir
51.00,24.90,21.71,0.00,banjir
51.00,24.90,21.71,0.00,banjir
51.00,24.90,21.71,0.00,banjir
51.00,24.90,21.71,0.00,banjir
51.00,24.90,21.71,0.00,banjir
50.00,24.90,21.71,0.00,banjir
50.00,24.90,21.39,-0.32,banjir
50.00,24.90,20.43,-0.95,banjir
50.00,24.90,20.43,0.00,banjir
51.00,24.90,20.43,0.00,banjir
51.00,24.90,20.43,0.00,banjir
51.00,24.90,20.42,-0.02,banjir
51.00,24.90,20.43,0.02,banjir
51.00,24.90,19.48,-0.95,banjir
51.00,24.90,19.48,0.00,banjir
51.00,24.90,19.48,0.00,banjir
51.00,24.90,19.48,0.00,banjir
51.00,24.90,19.47,-0.02,banjir
51.00,24.90,19.79,0.32,banjir
51.00,24.90,19.79,0.00,banjir
51.00,24.90,20.11,0.32,banjir
51.00,24.90,19.81,-0.31,banjir
51.00,24.90,20.11,0.31,banjir
52.00,24.90,19.79,-0.32,banjir
52.00,24.90,18.84,-0.95,banjir
52.00,24.90,19.81,0.97,surut
52.00,24.90,18.84,-0.97,banjir
52.00,24.90,18.51,-0.32,banjir
51.00,24.90,18.51,0.00,banjir
51.00,24.90,17.88,-0.63,banjir
51.00,24.90,17.24,-0.65,banjir
52.00,24.90,17.25,0.02,banjir
51.00,24.90,16.29,-0.97,banjir
51.00,24.90,15.96,-0.32,banjir
51.00,24.90,15.96,0.00,banjir
51.00,24.90,15.96,0.00,banjir
51.00,24.90,15.64,-0.32,banjir
51.00,24.90,15.66,0.02,banjir
51.00,24.90,14.94,-0.71,banjir
51.00,24.90,14.96,0.02,banjir
50.00,24.90,15.30,0.34,banjir
50.00,24.90,14.96,-0.34,banjir
50.00,24.90,14.26,-0.70,banjir
50.00,24.90,14.26,0.00,banjir
50.00,24.90,14.26,0.00,banjir
50.00,24.90,13.57,-0.70,banjir
51.00,24.90,13.21,-0.36,banjir
51.00,24.90,13.21,0.00,banjir
50.00,24.90,13.21,0.00,banjir
51.00,24.90,13.21,0.00,banjir
51.00,24.90,13.21,0.00,banjir
50.00,24.90,13.21,0.00,banjir
50.00,24.90,13.21,0.00,banjir
50.00,24.90,13.21,0.00,banjir
50.00,24.90,13.57,0.36,banjir
50.00,24.90,13.21,-0.36,banjir
50.00,24.90,13.23,0.02,banjir
50.00,24.90,11.81,-1.41,banjir
50.00,24.90,11.81,0.00,banjir
50.00,24.90,11.81,0.00,banjir
50.00,24.90,11.81,0.00,banjir
50.00,24.90,11.81,0.00,banjir
50.00,24.90,11.12,-0.70,banjir
50.00,24.90,11.81,0.70,surut
50.00,24.90,11.48,-0.34,banjir
50.00,24.90,10.42,-1.05,banjir
51.00,24.90,12.17,1.75,surut
51.00,24.90,10.78,-1.39,banjir
52.00,24.90,10.42,-0.36,banjir
52.00,24.90,10.42,0.00,banjir
53.00,24.90,10.78,0.36,banjir
53.00,24.90,11.12,0.34,banjir
54.00,24.90,9.72,-1.39,banjir
56.00,24.90,9.72,0.00,banjir
57.00,24.90,10.08,0.36,banjir
57.00,25.00,10.08,0.00,banjir
58.00,25.00,10.08,0.00,banjir
58.00,25.00,9.03,-1.05,banjir
57.00,25.00,9.38,0.36,banjir
57.00,25.00,9.37,-0.02,banjir
57.00,25.00,8.33,-1.04,banjir
57.00,25.00,9.72,1.39,surut
57.00,25.00,8.35,-1.38,banjir
57.00,25.00,8.65,0.31,banjir
57.00,25.10,9.38,0.73,surut
57.00,25.10,8.67,-0.71,banjir
58.00,25.10,8.67,0.00,banjir
58.00,25.10,8.67,0.00,banjir
59.00,25.10,8.67,0.00,banjir
58.00,25.10,9.72,1.05,surut
58.00,25.10,9.72,0.00,banjir
58.00,25.10,8.02,-1.70,banjir
58.00,25.10,8.67,0.65,surut
59.00,25.10,7.70,-0.97,banjir
59.00,25.10,7.70,0.00,banjir
59.00,25.10,7.70,0.00,banjir
59.00,25.10,8.02,0.32,banjir
59.00,25.10,8.65,0.63,surut
59.00,25.10,7.04,-1.61,banjir
59.00,25.10,6.72,-0.32,banjir
59.00,25.10,7.04,0.32,banjir
58.00,25.10,7.36,0.32,banjir
58.00,25.10,7.04,-0.32,banjir
58.00,25.10,7.04,0.00,banjir
57.00,25.10,7.04,0.00,banjir
57.00,25.10,6.41,-0.63,banjir
57.00,25.10,5.75,-0.66,banjir
57.00,25.20,5.75,0.00,banjir
56.00,25.20,5.75,0.00,banjir
55.00,25.20,5.76,0.02,banjir
54.00,25.20,5.75,-0.02,banjir
55.00,25.20,6.09,0.34,banjir
56.00,25.20,5.42,-0.66,banjir
56.00,25.20,6.09,0.66,surut
57.00,25.20,6.41,0.32,banjir
57.00,25.20,6.07,-0.34,banjir
58.00,25.20,5.42,-0.65,banjir
59.00,25.20,5.42,0.00,banjir
58.00,25.20,5.42,0.00,banjir
59.00,25.20,5.10,-0.32,banjir
58.00,25.20,5.12,0.02,banjir
58.00,25.20,5.42,0.31,banjir
58.00,25.20,5.42,0.00,banjir
58.00,25.20,5.42,0.00,banjir
58.00,25.20,5.42,0.00,banjir
57.00,25.20,5.42,0.00,banjir
57.00,25.20,5.10,-0.32,banjir
56.00,25.20,5.42,0.32,banjir
56.00,25.20,5.42,0.00,banjir
55.00,25.20,5.42,0.00,banjir
55.00,25.20,7.04,1.62,surut
55.00,25.20,6.09,-0.95,banjir
56.00,25.20,7.04,0.95,surut
56.00,25.20,7.70,0.66,surut
56.00,25.20,7.70,0.00,banjir
56.00,25.20,6.72,-0.99,banjir
56.00,25.20,8.02,1.31,surut
55.00,25.20,7.68,-0.34,banjir
55.00,25.20,7.70,0.02,banjir
56.00,25.30,8.02,0.32,banjir
56.00,25.30,8.67,0.65,surut
56.00,25.30,7.38,-1.29,banjir
55.00,25.30,7.38,0.00,banjir
55.00,25.30,8.67,1.29,surut
54.00,25.30,9.38,0.71,surut
54.00,25.30,9.03,-0.36,banjir
53.00,25.30,9.03,0.00,banjir
53.00,25.30,9.72,0.70,surut
54.00,25.30,10.08,0.36,banjir
54.00,25.30,9.72,-0.36,banjir
55.00,25.30,10.08,0.36,banjir
55.00,25.30,10.42,0.34,banjir
56.00,25.30,10.78,0.36,banjir
56.00,25.30,10.78,0.00,banjir
57.00,25.30,10.42,-0.36,banjir
56.00,25.30,10.42,0.00,banjir
56.00,25.30,10.78,0.36,banjir
57.00,25.30,10.42,-0.36,banjir
57.00,25.30,12.17,1.75,surut
58.00,25.30,10.78,-1.39,banjir
57.00,25.30,10.78,0.00,banjir
57.00,25.30,11.81,1.04,surut
57.00,25.30,11.81,0.00,banjir
56.00,25.30,11.81,0.00,banjir
56.00,25.40,12.17,0.36,banjir
56.00,25.40,12.87,0.70,surut
56.00,25.40,12.51,-0.36,banjir
57.00,25.40,12.17,-0.34,banjir
57.00,25.40,12.51,0.34,banjir
57.00,25.40,12.51,0.00,banjir
57.00,25.40,12.51,0.00,banjir
57.00,25.40,13.57,1.05,surut
58.00,25.40,13.55,-0.02,banjir
58.00,25.40,12.51,-1.04,banjir
58.00,25.40,13.91,1.39,surut
58.00,25.40,13.57,-0.34,banjir
58.00,25.40,15.30,1.73,surut
57.00,25.40,13.55,-1.75,banjir
57.00,25.40,14.26,0.71,surut
56.00,25.40,13.57,-0.70,banjir
56.00,25.40,13.91,0.34,banjir
55.00,25.40,13.57,-0.34,banjir
54.00,25.40,13.57,0.00,banjir
54.00,25.40,14.96,1.39,surut
54.00,25.40,14.60,-0.36,banjir
53.00,25.40,14.60,0.00,banjir
53.00,25.40,14.60,0.00,banjir
53.00,25.40,14.60,0.00,banjir
54.00,25.50,14.60,0.00,banjir
55.00,25.50,14.60,0.00,banjir
55.00,25.50,14.60,0.00,banjir
55.00,25.50,14.60,0.00,banjir
56.00,25.50,14.60,0.00,banjir
56.00,25.50,14.62,0.02,banjir
56.00,25.50,14.60,-0.02,banjir
56.00,25.60,15.98,1.38,surut
56.00,25.60,15.30,-0.68,banjir
56.00,25.60,15.32,0.02,banjir
56.00,25.60,15.30,-0.02,banjir
56.00,25.60,14.96,-0.34,banjir
56.00,25.60,16.29,1.33,surut
56.00,25.60,16.61,0.32,banjir
55.00,25.60,16.61,0.00,banjir
55.00,25.60,17.24,0.63,surut
54.00,25.60,17.56,0.32,banjir
54.00,25.60,16.29,-1.28,banjir
54.00,25.70,15.96,-0.32,banjir
54.00,25.70,18.21,2.24,surut
53.00,25.70,19.16,0.95,surut
53.00,25.70,18.19,-0.97,banjir
52.00,25.70,18.51,0.32,banjir
52.00,25.70,17.56,-0.95,banjir
52.00,25.70,20.43,2.87,surut
52.00,25.70,20.43,0.00,banjir
